file,sector_code,sector_name,size,mapping_confidence,source_json,rows,sv_mapping_warning,scale_guidance_hash
"EBX_Q_템플릿_CG_소비재_대기업_consultant_safe.xlsx","CG","소비재","대기업","high","EBX_Q_템플릿_CG_소비재_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
"EBX_Q_템플릿_CG_소비재_비상장_consultant_safe.xlsx","CG","소비재","비상장","high","EBX_Q_템플릿_CG_소비재_비상장.json","27","no","16007a84588b6437d3f2d4bb86e2fedd74f332b04099d5069f2369c35f9a6be3"
"EBX_Q_템플릿_CG_소비재_중견_consultant_safe.xlsx","CG","소비재","중견","high","EBX_Q_템플릿_CG_소비재_중견.json","27","no","7645f3f46ee786524fb134a6bcb8f5581714c908a1241a3dbfd4068a9b846a24"
"EBX_Q_템플릿_CG_소비재_중소_consultant_safe.xlsx","CG","소비재","중소","high","EBX_Q_템플릿_CG_소비재_중소.json","27","no","d624b5a6bc140b21c55749998f521fcc38169d1ba0b5f4baf4269f42dec1004e"
"EBX_Q_템플릿_EM_추출·광물가공_대기업_consultant_safe.xlsx","EM","추출·광물가공","대기업","high","EBX_Q_템플릿_EM_추출·광물가공_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
"EBX_Q_템플릿_EM_추출·광물가공_비상장_consultant_safe.xlsx","EM","추출·광물가공","비상장","high","EBX_Q_템플릿_EM_추출·광물가공_비상장.json","27","no","16007a84588b6437d3f2d4bb86e2fedd74f332b04099d5069f2369c35f9a6be3"
"EBX_Q_템플릿_EM_추출·광물가공_중견_consultant_safe.xlsx","EM","추출·광물가공","중견","high","EBX_Q_템플릿_EM_추출·광물가공_중견.json","27","no","7645f3f46ee786524fb134a6bcb8f5581714c908a1241a3dbfd4068a9b846a24"
"EBX_Q_템플릿_EM_추출·광물가공_중소_consultant_safe.xlsx","EM","추출·광물가공","중소","high","EBX_Q_템플릿_EM_추출·광물가공_중소.json","27","no","d624b5a6bc140b21c55749998f521fcc38169d1ba0b5f4baf4269f42dec1004e"
"EBX_Q_템플릿_FB_식음료_대기업_consultant_safe.xlsx","FB","식음료","대기업","high","EBX_Q_템플릿_FB_식음료_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
"EBX_Q_템플릿_FB_식음료_비상장_consultant_safe.xlsx","FB","식음료","비상장","high","EBX_Q_템플릿_FB_식음료_비상장.json","27","no","16007a84588b6437d3f2d4bb86e2fedd74f332b04099d5069f2369c35f9a6be3"
"EBX_Q_템플릿_FB_식음료_중견_consultant_safe.xlsx","FB","식음료","중견","high","EBX_Q_템플릿_FB_식음료_중견.json","27","no","7645f3f46ee786524fb134a6bcb8f5581714c908a1241a3dbfd4068a9b846a24"
"EBX_Q_템플릿_FB_식음료_중소_consultant_safe.xlsx","FB","식음료","중소","high","EBX_Q_템플릿_FB_식음료_중소.json","27","no","d624b5a6bc140b21c55749998f521fcc38169d1ba0b5f4baf4269f42dec1004e"
"EBX_Q_템플릿_FN_금융_대기업_consultant_safe.xlsx","FN","금융","대기업","high","EBX_Q_템플릿_FN_금융_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
"EBX_Q_템플릿_FN_금융_비상장_consultant_safe.xlsx","FN","금융","비상장","high","EBX_Q_템플릿_FN_금융_비상장.json","27","no","16007a84588b6437d3f2d4bb86e2fedd74f332b04099d5069f2369c35f9a6be3"
"EBX_Q_템플릿_FN_금융_중견_consultant_safe.xlsx","FN","금융","중견","high","EBX_Q_템플릿_FN_금융_중견.json","27","no","7645f3f46ee786524fb134a6bcb8f5581714c908a1241a3dbfd4068a9b846a24"
"EBX_Q_템플릿_FN_금융_중소_consultant_safe.xlsx","FN","금융","중소","high","EBX_Q_템플릿_FN_금융_중소.json","27","no","d624b5a6bc140b21c55749998f521fcc38169d1ba0b5f4baf4269f42dec1004e"
"EBX_Q_템플릿_HC_헬스케어_대기업_consultant_safe.xlsx","HC","헬스케어","대기업","high","EBX_Q_템플릿_HC_헬스케어_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
"EBX_Q_템플릿_HC_헬스케어_비상장_consultant_safe.xlsx","HC","헬스케어","비상장","high","EBX_Q_템플릿_HC_헬스케어_비상장.json","27","no","16007a84588b6437d3f2d4bb86e2fedd74f332b04099d5069f2369c35f9a6be3"
"EBX_Q_템플릿_HC_헬스케어_중견_consultant_safe.xlsx","HC","헬스케어","중견","high","EBX_Q_템플릿_HC_헬스케어_중견.json","27","no","7645f3f46ee786524fb134a6bcb8f5581714c908a1241a3dbfd4068a9b846a24"
"EBX_Q_템플릿_HC_헬스케어_중소_consultant_safe.xlsx","HC","헬스케어","중소","high","EBX_Q_템플릿_HC_헬스케어_중소.json","27","no","d624b5a6bc140b21c55749998f521fcc38169d1ba0b5f4baf4269f42dec1004e"
"EBX_Q_템플릿_IF_인프라_대기업_consultant_safe.xlsx","IF","인프라","대기업","high","EBX_Q_템플릿_IF_인프라_대기업.json","27","no","9a73d047ab7929a39f2405221e917b6eb3e8889d250696b1274dc1ec30ac3fd2"
